Name,星級,職業,傷害,主能力,副能力,戰技,連攜技觸發條件,連攜技,大招,天賦1,天賦2,特殊機制
管理員,6星,近衛,物理,敏捷,力量,物理傷害. 猛擊,連攜技造成傷害,"物理傷害, 對敵人附著源石結晶 5s, 定住敵人. 冷卻時間 15s","物理傷害, 群傷, 消耗源石結晶有二次物理傷害",當敵人附著的源石結晶被消耗後，自身攻擊力++  持續 15s (不疊加）,附著源石結晶的敵人收到的物理傷害++,"施加物理異常和破防會消耗源石結晶, 造成物理傷害"
黎風,6星,近衛,物理,敏捷,力量,"2次物理傷害. 倒地
最後一擊命中的敵人若 ❌ 破防, 物理脆弱 12s",處於物理脆弱 or 碎甲的敵人受到重擊,"物理傷害, 獲得連擊 20s. 冷卻時間 15s","物理傷害, 群傷, 倒地
若連擊, 則會有大量物理傷害","智識, 意志 → 攻擊++","When 自身造成倒地狀態, 額外造成傷害",
陳千語,5星,近衛,物理,敏捷,力量,物理傷害. 擊飛,敵人進入破防,物理傷害. 擊飛,"物理傷害, 對單","技能命中敵人後, 攻擊++","技能打斷敵人蓄力時, 失衡++",
駿尉,6星,先鋒,物理,意志,敏捷,碎甲. 基於消耗的破防層數回復技力,敵人被猛擊或碎甲消耗破防,"根據消耗破防層數斬擊, 恢復技力. 冷卻時間 17s","物理傷害, 召喚4個盾衛, 鐵誓+5, 鐵誓持續時間 30s.","通過自身恢復80技力後, 獲得持續20s 士氣激昂。
士氣激昂：攻擊++, 源石技藝強度++","當任意幹員使鐵誓-1時, 該幹員獲得持續10s 士氣激昂","當敵人受到物理異常或自身連攜技時, 鐵誓-1, 召喚盾衛造成物理傷害, 恢復技力
當鐵誓→0時, 4名盾衛同時造成物理傷害, 恢復技力"
洛茜,6星,近衛,物理,敏捷,智識,"物理傷害. 擊飛.
若目標已破防, 灼熱傷害",敵人同時處於破防+法術附著,"  1. 物理傷害
  2. 法術附著→0, 根據消耗層數造成物理傷害. 擊飛. 提升爆擊率+爆擊傷害（精準銜接時, 破防+1)",灼熱傷害. 灼熱附著. 爆擊時有高爆擊傷害,"戰技會對目標施加爪印斫痕持續15s (不疊加）。
","對處於爪印斫痕的敵人造成爆擊傷害時，會觸發1次攻擊力24%的灼熱傷害，且自身回復生命 ❇️
若目標處於燃燒 🔥, 上述傷害+治療效果提升至 1.5倍
",爪印斫痕: 目標每s受到自身30%物理傷害，受到的物理傷害和灼熱傷害+12%
佩麗卡,5星,術師,電磁,智識,意志,電磁傷害. 電磁附著+1,對敵人重擊,電磁傷害. 導電 ⚡ 5s. 冷卻時間：19s,電磁傷害,對失衡敵人攻擊++,"連攜技命中破防敵人時, 彈射1次",
狼衛,5星,術師,灼熱,力量,敏捷,"若目標已 🔥或 ⚡, 法術附著→0. 灼熱燒害
Else. 灼熱傷害. 灼熱附著.
",敵人被施加法術附著,灼熱傷害. 灼熱附著,灼熱傷害. 燃燒 🔥,"施加 🔥 後, 自身攻擊++","戰技消耗法術異常, 返還技力",
艾爾黛拉,6星,輔助,自然,智識,意志,"自然傷害. 若目標已腐蝕 🤢, 🤢 → 0 並施加物理脆弱+法術脆弱 (30s)",對無破防和法術附著的敵人重擊,自然燒害. 群傷. 腐蝕 🤢 持續時間 7s. 冷卻時間 17s,"向四周散射多利先生的分身，命中敵人造成
自然傷害","戰技命中敵人後生成 3 個多利先生的影子。
終結技分身落地時有10%生成多利先生的影子。",當戰技觸發額外效果後，若附近存在其他處於腐蝕 🤢 的敵人，會再發動一次戰技 (最多一次),多利先生的影子：主控幹員觸碰後可回生命 ❇️。當主幹員滿後會治療小隊生命百分比最低的人
潔爾佩塔,6星,輔助,自然,意志,智識,吸引敵人. 自然傷害. 自然附著.,敵人被施加法術異常,吸引. 自然傷害. 擊飛. 冷卻時間 19s,"自然傷害. 自然附著. 緩速. 法術脆弱. (5s)
若敵人處於破防，法術脆弱會隨破防層數提升
若敵人處於擊飛，會保持擊飛直到效果結束 (5s)","近衛, 術師, 輔助終結技充能效率++",戰技最後一擊 or 連攜技命中≥ 2 敵人後，主控幹員生命 ❇️++。當主幹員滿後會治療小隊生命百分比最低的人,
湯湯,6星,術師,寒冷,敏捷,力量,"寒冷傷害. 掀起一個水龍捲. 消耗所有渦流使其形成額外的水龍捲, 根據形成數量返還技力.
若本次形成≥ 2 個水龍捲 3s. 法術脆弱 15s. ",敵人被施加寒冷附著 or 法術爆發,寒冷傷害. 渦流+1. 渦流持續時間 30s. 場上最多2個渦流. 冷卻時間 12s,"寒冷傷害. 暫停行動. 
若途中下落攻擊. 傷害++ ","渦流5m範圍內, 友方加速, 敵人緩速","若終結技時下落攻擊，水龍捲+1, all 渦流→水龍捲, 造成傷害++",水龍捲：範圍內敵人寒冷附著+1. 寒冷傷害. 戰技傷害
